timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1753562211399,00;1;PUT change character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-565;text;FALSE;;2631;0;712;712;http://localhost:3001/character/;0;0;1
1753562211398,00;2;PUT change character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-515;text;FALSE;;2631;0;712;712;http://localhost:3001/character/;0;0;2
1753562211399,00;1;Delete character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-33;text;FALSE;;2631;0;712;712;http://localhost:3001/character/;0;0;1
1753562211399,00;1;PUT change character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-69;text;FALSE;;2631;0;712;712;http://localhost:3001/character/;0;0;1
1753562211399,00;1;PUT change character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-62;text;FALSE;;2631;0;712;712;http://localhost:3001/character/;0;0;1
1753562211202,00;280;GET character ID;200;OK;Nataliia 1-912;text;TRUE;;269;0;711;711;http://localhost:3001/character/1;280;0;0
1753562211400,00;1;Delete character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-422;text;FALSE;;2631;0;711;711;http://localhost:3001/character/;0;0;1
1753562211401,00;1;PUT change character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-105;text;FALSE;;2631;0;709;709;http://localhost:3001/character/;0;0;1
1753562211190,00;281;GET characters;200;OK;Nataliia 1-919;text;TRUE;;1322;0;716;716;http://localhost:3001/characters;281;0;0
1753562211205,00;279;GET characters;200;OK;Nataliia 1-920;text;TRUE;;1322;0;709;709;http://localhost:3001/characters;279;0;0
1753562211397,00;5;Delete character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-50;text;FALSE;;2631;0;709;709;http://localhost:3001/character/;0;0;5
1753562211206,00;279;GET characters;200;OK;Nataliia 1-832;text;TRUE;;1322;0;709;709;http://localhost:3001/characters;279;0;0
